"ENTITY","FIELD","REQUIRED?","CONDITIONAL RULE","INPUT TYPE","TARGET SELECT OPTIONS","LIVE SELECT OPTIONS","INHERITABLE FROM","DERIVED FROM","DEFAULT","MANUAL ENTRY ALLOWED?","CUSTOM/OTHER?","EXAMPLE","VALIDATION","AIRTABLE FIELD","LIVE AIRTABLE TYPE","COMPLETION DISPOSITION"
"payment","document_status","false","","select","not_required|required|requested|issued|received|stored","not_required|required|requested|issued|received|stored","","document_requirement","","no","","","type","Document Status","singleSelect","completion contract"
"payment","currency","true","","select","ILS|USD|EUR","ILS|USD|EUR","currency","","","yes","","","type","Currency","singleSelect","completion contract"
"payment","counterparty_contact","false","","link","","","counterparty_contact|contact_id","","","yes","","","record_id","Counterparty Contact","multipleRecordLinks","completion contract"
"payment","counterparty_organization","false","","link","","","counterparty_organization|organization_id","","","yes","","","record_id","Counterparty Organization","multipleRecordLinks","completion contract"
"lead","name","true","","text","","","","","","yes","","Dana Cohen","type","Name","singleLineText","completion contract"
"lead","phone","true","","text","","","","","","yes","","050-123-4567","phone","phone","singleLineText","completion contract"
"lead","status","false","","select","","waiting_call|active|high_confidence|new|waiting_response|archived|lost|duplicate|not_relevant|done","","","","no","","","outside completion contract","status","singleSelect","legacy or out of completion scope"
"lead","Score","false","","number","","","","","","no","","","outside completion contract","Score","number","legacy or out of completion scope"
"lead","summary","false","","text","","","","","","no","","","outside completion contract","summary","multilineText","legacy or out of completion scope"
"lead","answers","false","","text","","","","","","no","","","outside completion contract","answers","multilineText","legacy or out of completion scope"
"lead","source","false","","text","","","source","","","yes","","","type","source","singleLineText","completion contract"
"lead","channel","false","","text","","","channel","","","yes","","","type","channel","singleLineText","completion contract"
"lead","created_at","false","","computed","","","","Airtable/system","","no","","","never manually write","created_at","createdTime","schema-computed/system-owned"
"lead","memory_key","false","","text","","","","","","no","","","outside completion contract","memory_key","singleLineText","legacy or out of completion scope"
"lead","tenant_id","false","","text","","","","","","no","","","outside completion contract","tenant_id","singleLineText","legacy or out of completion scope"
"lead","owner_user_id","false","","text","","","","","","no","","","outside completion contract","owner_user_id","singleLineText","legacy or out of completion scope"
"lead","tier","false","","select","","קר|חם|רותח|לוהט|ליד חדש","","","","no","","","outside completion contract","tier","singleSelect","legacy or out of completion scope"
"lead","טמפרטורה","false","","computed","","","","Airtable/system","","no","","","never manually write","טמפרטורה","formula","schema-computed/system-owned"
"lead","אימוג'י טמפרטורה","false","","computed","","","","Airtable/system","","no","","","never manually write","אימוג'י טמפרטורה","formula","schema-computed/system-owned"
"lead","מד ציון","false","","computed","","","","Airtable/system","","no","","","never manually write","מד ציון","formula","schema-computed/system-owned"
"lead","עדיפות","false","","computed","","","","Airtable/system","","no","","","never manually write","עדיפות","formula","schema-computed/system-owned"
"lead","תצוגת ליד","false","","computed","","","","Airtable/system","","no","","","never manually write","תצוגת ליד","formula","schema-computed/system-owned"
"lead","Suggested Followup","false","","computed","","","","Airtable/system","","no","","","never manually write","Suggested Followup","formula","schema-computed/system-owned"
"lead","domain","false","","text","","","domain","","","yes","","","type","domain","singleLineText","completion contract"
"lead","owner","false","","link","","","owner|owner_id","","","yes","","","record_id","Owner","multipleRecordLinks","completion contract"
"lead","Role (from Owner)","false","","computed","","","","Airtable/system","","no","","","never manually write","Role (from Owner)","multipleLookupValues","schema-computed/system-owned"
"lead","Next Action","false","","select","","Call Back|Send Details|Follow Up|Waiting Response|Create Deal|Convert Contact|Schedule Meeting |Closed Won|Closed Lost|ליד חדש","","","","no","","","outside completion contract","Next Action","singleSelect","legacy or out of completion scope"
"lead","Business Outcome","false","","select","","open|needs_followup|meeting_scheduled|converted|not_relevant|lost|duplicate|archived","","","","no","","","outside completion contract","Business Outcome","singleSelect","legacy or out of completion scope"
"lead","Next Followup","false","","date","","","","","","no","","","outside completion contract","Next Followup","date","legacy or out of completion scope"
"lead","converted_at","false","","date","","","","","","no","","","outside completion contract","converted_at","date","legacy or out of completion scope"
"lead","notes","false","","text","","","","","","no","","","outside completion contract","notes","multilineText","legacy or out of completion scope"
"lead","external_id","false","","text","","","","","","no","","","outside completion contract","external_id","singleLineText","legacy or out of completion scope"
"lead","sender_id","false","","text","","","","","","no","","","outside completion contract","sender_id","singleLineText","legacy or out of completion scope"
"lead","אנשי קשר (Contacts)","false","","link","","","","","","no","","","outside completion contract","אנשי קשר (Contacts)","multipleRecordLinks","legacy or out of completion scope"
"lead","עסקאות (Deals)","false","","link","","","","","","no","","","outside completion contract","עסקאות (Deals)","multipleRecordLinks","legacy or out of completion scope"
"lead","Media Files","false","","link","","","","","","no","","","outside completion contract","Media Files","multipleRecordLinks","legacy or out of completion scope"
"lead","updated_at","false","","computed","","","","Airtable/system","","no","","","never manually write","updated_at","lastModifiedTime","schema-computed/system-owned"
"lead","משימות (Tasks)","false","","link","","","","","","no","","","outside completion contract","משימות (Tasks)","multipleRecordLinks","legacy or out of completion scope"
"lead","Sessions","false","","link","","","","","","no","","","outside completion contract","Sessions","multipleRecordLinks","legacy or out of completion scope"
"lead","Lead Events","false","","link","","","","","","no","","","outside completion contract","Lead Events","multipleRecordLinks","legacy or out of completion scope"
"lead","Domain category","false","","select","","Technology|Finance|Healthcare|Retail|Education|Manufacturing|Real Estate|Consulting|Other","","","","no","Other","","outside completion contract","Domain category","singleSelect","legacy or out of completion scope"
"lead","Domain risk assessment","false","","select","","Low risk|Medium risk|High risk","","","","no","","","outside completion contract","Domain risk assessment","singleSelect","legacy or out of completion scope"
"lead","Domain summary","false","","computed","","","","Airtable/system","","no","","","never manually write","Domain summary","aiText","schema-computed/system-owned"
"lead","Payments","false","","link","","","","","","no","","","outside completion contract","Payments","multipleRecordLinks","legacy or out of completion scope"
"payment_term","name","false","","text","","","","","Payment Term","yes","","","type","Name","singleLineText","completion contract"
"payment_term","deal","true","","link","","","deal_id|deal","","","yes","","","record_id","Deal","multipleRecordLinks","completion contract"
"payment_term","calculation_type","true","","select","fixed|percentage|per_unit|usage_based|tiered|custom","fixed|percentage","","","","yes","","","type","Calculation Type","singleSelect","LIVE ENUM GAP: missing per_unit|usage_based|tiered|custom"
"payment_term","fixed_amount","conditional","calculation_type in [fixed]","currency","","","","","","yes","","","positive","Fixed Amount","currency","completion contract"
"payment_term","rate_pct","conditional","calculation_type in [percentage|tiered]","percent","","","","","","yes","","","positive_percent","Rate %","percent","completion contract"
"payment_term","calculation_basis","conditional","calculation_type in [percentage|per_unit|usage_based|tiered|custom]","select","monthly_salary|first_salary|deal_amount|unit_count|custom_amount|transaction_amount|sale_amount|revenue|commission_amount|salary_amount|usage_quantity","monthly_salary|first_salary|deal_amount|unit_count|custom_amount","","","","yes","","","type","Calculation Basis","singleSelect","LIVE ENUM GAP: missing transaction_amount|sale_amount|revenue|commission_amount|salary_amount|usage_quantity"
"payment_term","trigger_type","false","","select","immediate|specific_date|after_period|event_based|manual","immediate|specific_date|after_period|event_based","","","immediate","yes","","","type","Trigger Type","singleSelect","LIVE ENUM GAP: missing manual"
"payment_term","trigger_date","conditional","trigger_type in [specific_date]","date","","","","","","yes","","","type","Trigger Date","date","completion contract"
"payment_term","trigger_delay_days","conditional","trigger_type in [after_period]","number","","","","","","yes","","","non_negative_integer","Trigger Delay Days","number","completion contract"
"payment_term","cadence","false","","select","once|weekly|monthly|quarterly|annual|installments|event_based|ongoing","once|monthly","","","once","yes","","","type","Cadence","singleSelect","LIVE ENUM GAP: missing weekly|quarterly|annual|installments|event_based|ongoing"
"payment_term","vat_rule","false","","select","none|add|included","none|add|included","","","none","yes","","","type","VAT Rule","singleSelect","completion contract"
"payment_term","start_date","false","","date","","","","","","yes","","","type","Start Date","date","completion contract"
"payment_term","end_date","false","","date","","","","","","yes","","","type","End Date","date","completion contract"
"payment_term","notes","false","","text","","","","","","yes","","","type","Notes","multilineText","completion contract"
"payment_term","Payments","false","","link","","","","","","no","","","outside completion contract","Payments","multipleRecordLinks","legacy or out of completion scope"
"payment_term","Charges","false","","link","","","","","","no","","","outside completion contract","Charges","multipleRecordLinks","legacy or out of completion scope"
"payment_term","Allocation Rules","false","","link","","","","","","no","","","outside completion contract","Allocation Rules","multipleRecordLinks","legacy or out of completion scope"
"payment_term","direction","true","","select","receivable|payable|internal","receivable|payable|internal","direction","","","yes","","","type","Direction","singleSelect","completion contract"
"payment_term","unit_rate","conditional","calculation_type in [per_unit|usage_based]","currency","","","","","","yes","","","positive","Unit Rate","currency","completion contract"
"payment_term","minimum_amount","false","","currency","","","","","","yes","","","non_negative","Minimum Amount","currency","completion contract"
"payment_term","maximum_amount","false","","currency","","","","","","yes","","","non_negative","Maximum Amount","currency","completion contract"
"payment_term","installment_count","conditional","cadence in [installments] AND due_rule in [installments]","number","","","","","","yes","","","positive_integer","Installment Count","number","completion contract"
"payment_term","trigger_event","conditional","trigger_type in [event_based]","text","","","","","","yes","","","type","Trigger Event","singleLineText","completion contract"
"payment_term","due_rule","false","","select","due_immediately|specific_due_date|net_days|scheduled|installments","due_immediately|specific_due_date|net_days|scheduled|installments","","","due_immediately","yes","","","type","Due Rule","singleSelect","completion contract"
"payment_term","net_days","conditional","due_rule in [net_days]","number","","","","","","yes","","","non_negative_integer","Net Days","number","completion contract"
"payment_term","grace_period_days","false","","number","","","","","0","yes","","","non_negative_integer","Grace Period Days","number","completion contract"
"payment_term","status","false","","select","draft|active|paused|ended|cancelled","draft|active|paused|ended|cancelled","","","draft","yes","","","type","Status","singleSelect","completion contract"
"payment_term","next_due_date","false","","computed","","","","due_rule|trigger|cadence","","no","","","type","Next Due Date","date","DERIVATION GAP: completion must derive; live field is writable"
"payment_term","currency","true","","select","ILS|USD|EUR","ILS|USD|EUR","currency","","","yes","","","type","Currency","singleSelect","completion contract"
"charge","reference","false","","text","","","","","","yes","","","type","Charge Reference","singleLineText","completion contract"
"charge","deal","true","","link","","","deal_id|deal","","","yes","","","record_id","Deal","multipleRecordLinks","completion contract"
"charge","billing_term","false","","link","","","payment_term_id|billing_term","","","yes","","","record_id","Billing Term","multipleRecordLinks","completion contract"
"charge","direction","true","","select","receivable|payable|internal","receivable|payable|internal","direction","","","yes","","","type","Direction","singleSelect","completion contract"
"charge","currency","true","","select","ILS|USD|EUR","","currency","","","yes","","","type","Currency","singleLineText","LIVE TYPE GAP: target singleSelect"
"charge","status","false","","select","draft|issued|due|overdue|cancelled|written_off","draft|issued|due|overdue|cancelled|written_off","","","draft","yes","","","type","Status","singleSelect","completion contract"
"charge","collection_state","false","","select","not_due|due|partially_paid|overdue|promise_to_pay|date_unknown|paid|cancelled|written_off","not_due|due|partially_paid|overdue|promise_to_pay|date_unknown|paid|cancelled|written_off","","","not_due","yes","","","type","Collection State","singleSelect","completion contract"
"charge","rate_pct","false","","percent","","","","","","yes","","","type","Rate %","percent","completion contract"
"charge","quantity","false","","number","","","","","","yes","","","positive","Quantity","number","completion contract"
"charge","vat_rule","false","","select","none|add|included","none|add|included","","","none","yes","","","type","VAT Rule","singleSelect","completion contract"
"charge","trigger_evidence","false","","text","","","","billing_term|trigger_context","","no","","","type","Trigger Evidence","singleLineText","completion contract"
"charge","original_terms_snapshot","false","","text","","","","billing_term","","no","","","type","Original Terms Snapshot","multilineText","completion contract"
"charge","document_requirement","false","","select","receipt_required|invoice_required|expense_document_required|none","receipt_required|invoice_required|expense_document_required|none","","","none","yes","","","type","Document Requirement","singleSelect","completion contract"
"charge","document_status","false","","select","not_required|required|requested|issued|received|stored","not_required|required|requested|issued|received|stored","","document_requirement","","no","","","type","Document Status","singleSelect","completion contract"
"charge","notes","false","","text","","","","","","yes","","","type","Notes","multilineText","completion contract"
"charge","Allocation Rules","false","","link","","","","","","no","","","outside completion contract","Allocation Rules","multipleRecordLinks","legacy or out of completion scope"
"charge","Allocation Snapshots","false","","link","","","","","","no","","","outside completion contract","Allocation Snapshots","multipleRecordLinks","legacy or out of completion scope"
"charge","amount","true","","currency","","","","","","yes","","","positive","Amount","currency","completion contract"
"charge","original_due_date","false","","date","","","original_due_date|due_date","","","yes","","","type","Original Due Date","date","completion contract"
"charge","current_expected_date","false","","date","","","","","","yes","","","type","Current Expected Date","date","completion contract"
"charge","base_amount","false","","currency","","","","","","yes","","","non_negative","Base Amount","currency","completion contract"
"charge","unit_rate","false","","currency","","","","","","yes","","","positive","Unit Rate","currency","completion contract"
"charge","vat_amount","false","","currency","","","","","","yes","","","non_negative","VAT Amount","currency","completion contract"
"charge","promised_payment_date","false","","date","","","","","","yes","","","type","Promised Payment Date","date","completion contract"
"charge","promised_payment_amount","false","","currency","","","","","","yes","","","positive","Promised Payment Amount","currency","completion contract"
"charge","Payments","false","","link","","","","","","no","","","outside completion contract","Payments","multipleRecordLinks","legacy or out of completion scope"
"charge","remaining_balance","false","","computed","","","","","","no","","","type","Remaining Balance","formula","computed; never ask/write"
"charge","total_paid","false","","computed","","","","","","no","","","type","Total Paid","rollup","computed; never ask/write"
"allocation_rule","reference","false","","text","","","","","","yes","","","type","Allocation Rule Reference","singleLineText","completion contract"
"allocation_rule","deal","true","","link","","","deal_id|deal","","","yes","","","record_id","Deal","multipleRecordLinks","completion contract"
"allocation_rule","billing_term","false","","link","","","payment_term_id|billing_term","","","yes","","","record_id","Billing Term","multipleRecordLinks","completion contract"
"allocation_rule","charge","false","","link","","","charge_id|charge","","","yes","","","record_id","Charge","multipleRecordLinks","completion contract"
"allocation_rule","beneficiary","true","","link","","","","","","yes","","","record_id","Beneficiary","multipleRecordLinks","completion contract"
"allocation_rule","allocation_type","true","","select","percentage|fixed|per_unit|remainder|custom","percentage|fixed|per_unit|remainder|custom","","","","yes","","","type","Allocation Type","singleSelect","completion contract"
"allocation_rule","allocation_basis","true","","select","gross_amount|net_amount|profit|our_commission|collected_amount|remaining_amount|custom","gross_amount|net_amount|profit|our_commission|collected_amount|remaining_amount|custom","","","","yes","","","type","Allocation Basis","singleSelect","completion contract"
"allocation_rule","rate_pct","conditional","allocation_type in [percentage]","percent","","","","","","yes","","","positive_percent","Rate %","percent","completion contract"
"allocation_rule","priority","false","","number","","","","","0","yes","","","non_negative_integer","Priority / Order","number","completion contract"
"allocation_rule","status","false","","select","draft|active|paused|ended|cancelled","draft|active|paused|ended|cancelled","","","draft","yes","","","type","Status","singleSelect","completion contract"
"allocation_rule","notes","false","","text","","","","","","yes","","","type","Notes","multilineText","completion contract"
"allocation_rule","Allocation Snapshots","false","","link","","","","","","no","","","outside completion contract","Allocation Snapshots","multipleRecordLinks","legacy or out of completion scope"
"allocation_rule","fixed_amount","conditional","allocation_type in [fixed]","currency","","","","","","yes","","","positive","Fixed Amount","currency","completion contract"
"allocation_rule","unit_rate","conditional","allocation_type in [per_unit]","currency","","","","","","yes","","","positive","Unit Rate","currency","completion contract"
"allocation_rule","start_date","false","","date","","","","","","yes","","","type","Start Date","date","completion contract"
"allocation_rule","end_date","false","","date","","","","","","yes","","","type","End Date","date","completion contract"
"allocation_snapshot","reference","false","","computed","","","","","","no","","","type","Allocation Snapshot Reference","singleLineText","DERIVATION GAP: completion must derive; live field is writable"
